group;aneuploidy_score;heterogeneity_score;CIN_status
tumor_KUL01;0,0204045506192447;0,205188681504853;CIN_low
tumor_KUL19;0,0200120993238033;0,182967443798628;CIN_low
tumor_KUL21;0,0290371608013197;0,276713167751446;CIN_high
tumor_KUL30;0,0235214668197085;0,195136208114205;CIN_low
tumor_SMC01;0,0312699761204894;0,266328436413647;CIN_high
tumor_SMC02;0,0369853854647654;0,276343065519397;CIN_high
tumor_SMC03;0,0174704069193202;0,169123388243233;CIN_low
tumor_SMC04;0,0400020427714710;0,345663773330301;CIN_high
tumor_SMC06;0,0139948956217797;0,104814820982206;CIN_low
tumor_SMC07;0,0300275546724316;0,257733958619456;CIN_high
tumor_SMC08;0,0400323347323968;0,330703607646579;CIN_high
tumor_SMC09;0,0274766324655067;0,206428880420776;CIN_high
tumor_SMC10;0,0150226992951962;0,135933806416205;CIN_low
tumor_SMC11;0,0304516000871025;0,217778538977686;CIN_high
tumor_SMC14;0,0388907998426124;0,360452885092064;CIN_high
tumor_SMC15;0,0318945421393394;0,248470329787580;CIN_high
tumor_SMC16;0,0237013702696930;0,177512976282715;CIN_low
tumor_SMC17;0,0229548855188149;0,187266165712037;CIN_low
tumor_SMC18;0,0303553977466056;0,242962658710399;CIN_high
tumor_SMC19;0,0181882911952062;0,179945977911484;CIN_low
tumor_SMC20;0,0470984236091314;0,387917771871488;CIN_high
tumor_SMC21;0,0316101580080341;0,220913256019719;CIN_high
tumor_SMC22;0,0149498507813368;0,109574047306232;CIN_low
tumor_SMC23;0,0247511250382224;0,228054602888992;CIN_low
tumor_SMC24;0,0166282184342644;0,131787951137379;CIN_low
tumor_SMC25;0,0233989663666511;0,208819108825666;CIN_low
